Date,Actual,Goal
Jul 26 2022,6663,8000
Jul 27 2022,3685,8000
Jul 28 2022,3452,8000
Jul 29 2022,3739,8000
Jul 30 2022,2380,8000
Jul 31 2022,3561,8000
Aug 1 2022,9349,8000
Aug 2 2022,6159,8000
Aug 3 2022,6530,8000
Aug 4 2022,3517,8000
Aug 5 2022,3104,8000
Aug 6 2022,3169,8000
Aug 7 2022,3029,8000
Aug 8 2022,8572,8000
Aug 9 2022,4747,8000
Aug 10 2022,8983,8000
Aug 11 2022,3898,8000
Aug 12 2022,4260,8000
Aug 13 2022,8652,8000
Aug 14 2022,3673,8000
Aug 15 2022,4426,8000
Aug 16 2022,5324,8000
Aug 17 2022,4718,8000
Aug 18 2022,12084,8000
Aug 19 2022,5250,8000
Aug 20 2022,5347,8000
Aug 21 2022,4404,8000
Aug 22 2022,5721,8000
