Date,Actual,Goal
Oct 18 2022,4865,8000
Oct 19 2022,5900,8000
Oct 20 2022,5357,8000
Oct 21 2022,5780,8000
Oct 22 2022,3423,8000
Oct 23 2022,316,8000
Oct 24 2022,1322,8000
Oct 25 2022,1946,8000
Oct 26 2022,1786,8000
Oct 27 2022,3765,8000
Oct 28 2022,6460,8000
Oct 29 2022,2776,8000
Oct 30 2022,4112,8000
Oct 31 2022,4628,8000
Nov 1 2022,5228,8000
Nov 2 2022,3676,8000
Nov 3 2022,4379,8000
Nov 4 2022,6568,8000
Nov 5 2022,6982,8000
Nov 6 2022,5492,8000
Nov 7 2022,5623,8000
Nov 8 2022,5937,8000
Nov 9 2022,6729,8000
Nov 10 2022,3923,8000
Nov 11 2022,5641,8000
Nov 12 2022,2384,8000
Nov 13 2022,2937,8000
Nov 14 2022,9680,8000
