Date,Actual,Goal
Nov 15 2022,7150,8000
Nov 16 2022,5413,8000
Nov 17 2022,6068,8000
Nov 18 2022,5553,8000
Nov 19 2022,0,8000
Nov 20 2022,7029,8000
Nov 21 2022,8657,8000
Nov 22 2022,7346,8000
Nov 23 2022,7965,8000
Nov 24 2022,6515,8000
Nov 25 2022,3385,8000
Nov 26 2022,2860,8000
Nov 27 2022,7113,8000
Nov 28 2022,2532,8000
Nov 29 2022,8368,8000
Nov 30 2022,5391,8000
Dec 1 2022,3611,8000
Dec 2 2022,4927,8000
Dec 3 2022,7248,8000
Dec 4 2022,0,8000
Dec 5 2022,3146,8000
Dec 6 2022,6011,8000
Dec 7 2022,3368,8000
Dec 8 2022,8016,8000
Dec 9 2022,11002,8000
Dec 10 2022,5129,8000
Dec 11 2022,9607,8000
Dec 12 2022,7775,8000
