Date,Actual,Goal
Sep 20 2022,5278,8000
Sep 21 2022,7984,8000
Sep 22 2022,6401,8000
Sep 23 2022,9236,8000
Sep 24 2022,2674,8000
Sep 25 2022,2628,8000
Sep 26 2022,9773,8000
Sep 27 2022,7627,8000
Sep 28 2022,3634,8000
Sep 29 2022,9938,8000
Sep 30 2022,11797,8000
Oct 1 2022,0,8000
Oct 2 2022,8976,8000
Oct 3 2022,8323,8000
Oct 4 2022,9375,8000
Oct 5 2022,5989,8000
Oct 6 2022,3634,8000
Oct 7 2022,16035,8000
Oct 8 2022,4601,8000
Oct 9 2022,4186,8000
Oct 10 2022,7434,8000
Oct 11 2022,8381,8000
Oct 12 2022,5866,8000
Oct 13 2022,3111,8000
Oct 14 2022,11902,8000
Oct 15 2022,4137,8000
Oct 16 2022,3445,8000
Oct 17 2022,4581,8000
