Date,Actual,Goal
Mar 7 2023,7521,8000
Mar 8 2023,9689,8000
Mar 9 2023,4166,8000
Mar 10 2023,5735,8000
Mar 11 2023,2007,8000
Mar 12 2023,1740,8000
Mar 13 2023,5156,8000
Mar 14 2023,9179,8000
Mar 15 2023,4111,8000
Mar 16 2023,6143,8000
Mar 17 2023,6073,8000
Mar 18 2023,3616,8000
Mar 19 2023,3361,8000
Mar 20 2023,10772,8000
Mar 21 2023,5967,8000
Mar 22 2023,11088,8000
Mar 23 2023,4355,8000
Mar 24 2023,13483,8000
Mar 25 2023,10089,8000
Mar 26 2023,13556,8000
Mar 27 2023,12984,8000
Mar 28 2023,15553,8000
Mar 29 2023,8111,8000
Mar 30 2023,16611,8000
Mar 31 2023,14905,8000
Apr 1 2023,10345,8000
Apr 2 2023,7534,8000
Apr 3 2023,6732,8000
