Date,Actual,Goal
Apr 4 2023,7304,8000
Apr 5 2023,5332,8000
Apr 6 2023,9763,8000
Apr 7 2023,3255,8000
Apr 8 2023,4697,8000
Apr 9 2023,2697,8000
Apr 10 2023,6700,8000
Apr 11 2023,5418,8000
Apr 12 2023,5214,8000
Apr 13 2023,2251,8000
Apr 14 2023,6167,8000
Apr 15 2023,1168,8000
Apr 16 2023,4823,8000
Apr 17 2023,5270,8000
Apr 18 2023,4860,8000
Apr 19 2023,2806,8000
Apr 20 2023,6555,8000
Apr 21 2023,5252,8000
Apr 22 2023,4019,8000
Apr 23 2023,2533,8000
Apr 24 2023,6526,8000
Apr 25 2023,5981,8000
Apr 26 2023,7114,8000
Apr 27 2023,7375,6500
Apr 28 2023,5266,6500
Apr 29 2023,3489,6500
Apr 30 2023,1879,6500
May 1 2023,4947,6500
