Date,Actual,Goal
Jan 10 2023,5837,8000
Jan 11 2023,5671,8000
Jan 12 2023,9803,8000
Jan 13 2023,5127,8000
Jan 14 2023,0,8000
Jan 15 2023,4137,8000
Jan 16 2023,7403,8000
Jan 17 2023,5709,8000
Jan 18 2023,8343,8000
Jan 19 2023,10945,8000
Jan 20 2023,4906,8000
Jan 21 2023,2232,8000
Jan 22 2023,7114,8000
Jan 23 2023,6138,8000
Jan 24 2023,4845,8000
Jan 25 2023,10218,8000
Jan 26 2023,4920,8000
Jan 27 2023,4237,8000
Jan 28 2023,0,8000
Jan 29 2023,3554,8000
Jan 30 2023,9995,8000
Jan 31 2023,4406,8000
Feb 1 2023,5046,8000
Feb 2 2023,4969,8000
Feb 3 2023,4979,8000
Feb 4 2023,1441,8000
Feb 5 2023,3025,8000
Feb 6 2023,3956,8000
