Date,Actual,Goal
Aug 23 2022,9154,8000
Aug 24 2022,4310,8000
Aug 25 2022,0,8000
Aug 26 2022,4048,8000
Aug 27 2022,0,8000
Aug 28 2022,6917,8000
Aug 29 2022,5071,8000
Aug 30 2022,3893,8000
Aug 31 2022,5176,8000
Sep 1 2022,2425,8000
Sep 2 2022,8327,8000
Sep 3 2022,3122,8000
Sep 4 2022,8256,8000
Sep 5 2022,7863,8000
Sep 6 2022,7586,8000
Sep 7 2022,5364,8000
Sep 8 2022,5735,8000
Sep 9 2022,12348,8000
Sep 10 2022,3734,8000
Sep 11 2022,0,8000
Sep 12 2022,5209,8000
Sep 13 2022,6472,8000
Sep 14 2022,5028,8000
Sep 15 2022,4584,8000
Sep 16 2022,8159,8000
Sep 17 2022,7570,8000
Sep 18 2022,4649,8000
Sep 19 2022,2601,8000
