Date,Actual,Goal
Feb 7 2023,5417,8000
Feb 8 2023,3397,8000
Feb 9 2023,15341,8000
Feb 10 2023,8071,8000
Feb 11 2023,1392,8000
Feb 12 2023,5768,8000
Feb 13 2023,7843,8000
Feb 14 2023,5547,8000
Feb 15 2023,10868,8000
Feb 16 2023,6117,8000
Feb 17 2023,4928,8000
Feb 18 2023,3796,8000
Feb 19 2023,2078,8000
Feb 20 2023,9668,8000
Feb 21 2023,10153,8000
Feb 22 2023,5436,8000
Feb 23 2023,2183,8000
Feb 24 2023,8227,8000
Feb 25 2023,2416,8000
Feb 26 2023,2376,8000
Feb 27 2023,7231,8000
Feb 28 2023,6937,8000
Mar 1 2023,5748,8000
Mar 2 2023,7358,8000
Mar 3 2023,6591,8000
Mar 4 2023,2001,8000
Mar 5 2023,4090,8000
Mar 6 2023,4152,8000
